NAME,RATING,AREA,DISHES,APPROX,DISCOUNT,LOCATION
Mahesh Lunch Home,4.3,"Camp Area, Pune",Seafood,1400,10,Pune
Kukoo,5.0,"Sangamvadi, Pune",Multicuisine,1800,25,Pune
Zanzibar,4.8,The Central Park Hotel,"Cocktail Menu, Multicuisine",1100,25,Pune
Time After Time,3.5,The Central Park Hotel,"Multicuisine, European",1400,35,Pune
Malaka Spice,4.5,"Koregaon Park, Pune","Pan Asian, oriental",1600,10,Pune
Prem's,4.9,"Koregaon Park, Pune",Multicuisine,1600,15,Pune
German Bakery,4.6,"Koregaon Park, Pune",Cafe,600,10,Pune
Talli Bar & Kitchen,4.7,"Koregaon Park, Pune",Multicuisine,1600,25,Pune
The lobby @Sheraton,4.6,"Sheraton Grand Pune Bund Garden Hotel, Pune",Bakery,700,25,Pune
Sante Spa Cuisine,4.6,"1st Lane, Koregaon Park, Pune","Healthy Food, Vegan",1000,,Pune
Grandmama's Cafe,4.7,"Koregaon Park, Pune","Cafe, Multicuisine",1600,10,Pune
QORA - Cocktail Bar & Kitchen,4.1,"Koregaon Park, Pune",Asian,1500,25,Pune
Aahar Udipi's,4.7,"Sangamvadi, Pune",South Indian,1000,10,Pune
Mood Drums,4.0,"Hinjawadi, Pune",Multicuisine,1000,50,Pune
Thyme & Whisk,4.2,"Koregaon Park, Pune",Multicuisine,1000,10,Pune
Toscano,4.5,"Koregaon Park, Pune",Italian,1500,,Pune
Kiosk kaffee,4.0,"SGS Mall, Camp Area",Coffee,300,,Pune
Kabana,4.6,"Conrad Pune, Pune","Cafe, European",3000,25,Pune
INOX,1.0,"Bund Garden Road, Pune",Fast Food,500,,Pune
Tim Luck Luck,4.1,"East Street, Pune","Chinese, Cocktail Menu, North Indian",1000,30,Pune
Coriander Kitchen,4.6,"Conrad Pune, Pune","Desserts, Asian, Salad, Mediterranean, North Indian, Multicuisine",3400,25,Pune
Kuai Kitchen,5.0,"Koregaon Park, Pune",Pan Asian,1600,25,Pune
Little Italy ,4.5,"Bund Garden Road, Pune","Italian, Mexican",1200,10,Pune
Pune 14,4.5,Hyatt Regency Pune,Multicuisine,2500,50,Pune
Chafa Cafe,4.4,"Koregaon Park, Pune",Healthy Food,600,10,Pune
Asia Kitchen By Mainland China,4.6,"Dhole Patil Road, Pune",Chinese,1200,15,Pune
Big Little Brew Pub,5.0,"Kharadi, Pune",Multicuisine,1800,10,Pune
Loft On The Top,5.0,"Kondhwa, Pune",Multicuisine,1800,50,Pune
Koji,4.6,"Conrad Pune, Pune",Pan Asian,4000,15,Pune
Intactu,3.7,"Hinjawadi, Pune",Multicuisine,1300,50,Pune
OleOle | The Luxury Bar,4.0,"Baner, Pune","Multicuisine, Cocktail Menu",1500,50,Pune
Cafe Blu,4.3,Radisson Blu Pune Hinjewadi,Multicuisine,1500,50,Pune
Al Di La,4.4,"Conrad Pune, Pune",Italian,5200,15,Pune
Savya Rasa,4.8,"Koregaon Park, Pune",South Indian,1000,,Pune
18 Degrees Rooftop Resto Lounge,3.2,"Spot 18 Mall, Pimple Saudagar",Multicuisine,2000,50,Pune
One8 Commune,4.5,"Koregaon Park, Pune",Multicuisine,1500,,Pune
Millers - The Luxury Club,4.7,"Bund Garden Road, Pune",Multicuisine,1800,20,Pune
Yolo Gastro Lounge,3.7,"Spot 18 Mall, Pimple Saudagar",Multicuisine,1800,55,Pune
Santorini,4.4,Hilton Garden Inn Pune Hinjawadi,"Mediterranean, Continental",2400,50,Pune
Texas Tower,4.4,"Kharadi, Pune",Multicuisine,1500,30,Pune
Pimlico,3.7,"Koregaon Park, Pune",Multicuisine,1500,,Pune
Boho Boho,5.0,"Koregaon Park, Pune",Multicuisine,900,10,Pune
Punjab Grill,4.5,"Ghorpadi, Pune",North Indian,1400,25,Pune
Classico Kitchen And Bar,4.2,"Erandwane, Pune",Multicuisine,1200,15,Pune
11 East Street Cafe,4.2,"East Street, Pune",Multicuisine,1800,10,Pune
Soy Como Soy,4.0,"Koregaon Park, Pune",Multicuisine,2000,10,Pune
IHOP Restaurant,5.0,"Senapati Bapat Road, Pune",American,1500,50,Pune
Jubilee ,4.0,"Koregaon Park, Pune","Cafe, Desserts",1000,20,Pune
Immortals Lounge,4.0,"Kharadi, Pune",Multicuisine,2000,50,Pune
Braun Autobahn,3.7,"Viman Nagar, Pune",Multicuisine,1200,30,Pune
Casa Blanca ,3.7,"The Pride Hotel, Pune",Multicuisine,1150,25,Pune
Squisito,4.3,"Koregaon Park, Pune","Italian, Mexican",1400,25,Pune
Dario's,4.0,"Koregaon Park, Pune",Italian,1500,,Pune
Barzilla Club,1.0,"Hinjawadi, Pune",Multicuisine,1800,55,Pune
Shizusan,4.3,"Viman Nagar, Pune",Pan Asian,1600,15,Pune
Skye - Rooftop By Eternia,4.3,"Senapati Bapat Road, Pune","Multicuisine, Cocktail Menu",2000,50,Pune
Earth Houz,5.0,"Kondhwa, Pune","Indian, North Indian",1000,50,Pune
Addah,4.2,The O Hotel Pune,North Indian,2500,10,Pune
Ishaara,4.8,"Phoenix Mall of the Millennium, Wakad",Modern Indian,1300,10,Pune
Mutuswami Cafe,3.0,"Ramee Grand, Pune",South Indian,500,10,Pune
Swig,3.0,"Koregaon Park, Pune",Multicuisine,2000,10,Pune
Ebony,3.7,"St Laurn Business Hotel, Pune",Multicuisine,1400,25,Pune
Valour Kitchen & Bar,4.0,"Kharadi, Pune",Multicuisine,1200,50,Pune
Tiger Naan,5.0,"Koregaon Park, Pune","Modern Indian, Japanese",1500,10,Pune
YouMee,4.5,"Viman Nagar, Pune",Pan Asian,900,15,Pune
The Tenth Floor,4.0,"Baner, Pune",Multicuisine,1500,20,Pune
Allora,4.5,"Viman Nagar, Pune",Italian,1200,15,Pune
GILT Club,2.5,"Kharadi, Pune",Multicuisine,1200,50,Pune
Garuda Restro Sky Bar,2.8,"Hinjawadi, Pune","Multicuisine, Cocktail Menu",1800,,Pune
The Time Table At Ventive,4.0,"Koregaon Park, Pune","Continental, Healthy Food",1000,20,Pune
The Daark Horse,2.7,"Koregaon Park, Pune",Multicuisine,1200,25,Pune
Indimex ,3.0,"Magarpatta, Pune",Multicuisine,1500,50,Pune
Wow! Momo,4.0,"Camp Area, Pune",Momos,400,15,Pune
 Bean Social,4.0,"Shivaji Nagar, Pune",Cafe,300,15,Pune
Atmosphere 6,4.6,"Viman Nagar, Pune",Multicuisine,2000,20,Pune
Barbeque Nation,4.7,"Kalyani Nagar, Pune","Multicuisine, Barbeque",2050,,Pune
The Ruby Hilltop,4.3,"Pashan, Pune","Cocktail Menu, Multicuisine",1400,20,Pune
Pune Sugar Box,5.0,"Conrad Pune, Pune","Desserts, Bakery",1200,15,Pune
BOVI Lounge & Bar,5.0,"Pashan, Pune",Multicuisine,1600,30,Pune
Zeera,4.6,"Conrad Pune, Pune",Indian,4000,15,Pune
Klinq - Cocktails & Cuisine,4.0,"Viman Nagar, Pune",Multicuisine,1400,10,Pune
Puran Da Dhaba ,3.9,"The Pride Hotel, Pune",North Indian,1500,25,Pune
Rustic Sand,5.0,"Hotel Rajmudra, Pune",Multicuisine,1500,25,Pune
Ruhmani,3.9,Hilton Garden Inn Pune Hinjawadi,"Indian, Mughlai",3000,50,Pune
Cafe 1730,4.3,"Kharadi, Pune",Multicuisine,1400,15,Pune
The Camden Lane,4.5,"Koregaon Park, Pune",Multicuisine,1200,,Pune
Cafe Rova,4.6,"Kharadi, Pune",Multicuisine,600,30,Pune
Mirage,4.0,"Sangamvadi, Pune",Pan Asian,2000,,Pune
L7 - Luxury Club & Kitchen,4.0,"Koregaon Park, Pune",Multicuisine,1400,30,Pune
Teera,3.9,"Wakad, Pune",Multicuisine,1500,25,Pune
Gelato Italiano,4.0,"Raja Bahadur Mill Road, Pune",Ice Cream,300,10,Pune
The Walnut Tree,4.0,"Koregaon Park, Pune","Bakery, Cafe",800,10,Pune
The 7a Restaurant and Bar,4.0,"Kharadi, Pune","Cocktail Menu, Multicuisine",1000,30,Pune
Masu,4.3,"Conrad Pune, Pune","Finger Food, Cocktail Menu",3000,25,Pune
Bao Story,5.0,"Hinjawadi, Pune",Asian,1200,,Pune
Cafe 15A,4.2,"St Laurn Business Hotel, Pune","Multicuisine, All Day Dining",1500,25,Pune
Piazza Pizza,4.0,"Seasons Mall, Magarpatta",Multicuisine,600,30,Pune
Punjab Grill,3.9,"Phoenix Mall of the Millennium, Wakad",North Indian,1200,30,Pune
Hyde Sky Kitchen & Bar,4.2,"Wakad, Pune",Multicuisine,1200,50,Pune
The Trojan Horse,4.0,"Hinjawadi, Pune",Multicuisine,1500,50,Pune
Pop Tate's,4.5,"Phoenix Market City, Viman Nagar",Multicuisine,2000,,Pune
Tales & Spirits,4.5,"Senapati Bapat Road, Pune",Mediterranean,800,15,Pune
The House of Jeera,4.0,"Baner, Pune",Indian,900,30,Pune
Masala Times,4.3,"Camp Area, Pune",Multicuisine,1000,,Pune
Code The Speakeasy Bar,4.2,"Kothrud, Pune","Cocktail Menu, Multicuisine",1200,15,Pune
360 Degree - The Revolving Fine Dine Restaurant,4.4,"JM Road, Pune",Multicuisine,1400,25,Pune
Tea Villa Cafe,4.8,"Wakad, Pune",Multicuisine,800,10,Pune
Portico,4.4,"Sayaji Hotel, Pune",All Day Dining,1200,10,Pune
The Market,4.5,"The Westin Pune Koregaon Park, Pune",Multicuisine,2800,25,Pune
Circuit House,4.4,"Baner, Pune",Multicuisine,2000,20,Pune
X-Tasy,3.2,"The Pride Hotel, Pune",Multicuisine,2200,25,Pune
Casablanca The Lounge,3.0,"Koregaon Park, Pune",Multicuisine,1800,25,Pune
You Mee,3.8,"Phoenix Mall of the Millennium, Wakad",Pan Asian,1600,25,Pune
Highland ,4.0,"Kalyani Nagar, Pune",Multicuisine,1400,35,Pune
We Idliwale,4.0,"NIBM Road, Pune",South Indian,600,10,Pune
Sorriso,4.6,Marriott Suites Pune,"Italian, Continental",3500,30,Pune
Lola Cafe & Bar,4.5,"Lonavala, Pune",Multicuisine,1100,10,Pune
HAPAA - Asian Stir,4.3,"Kalyani Nagar, Pune",Asian,1200,20,Pune
La Magia,4.3,SUNDERBAN RESORT & SPA,Italian,2000,,Pune
SMOOR,4.4,"Koregaon Park, Pune",European,600,10,Pune
Da Nonna's,4.0,"Deccan Gymkhana, Pune",Italian,1200,15,Pune
Utse Kitchen,4.0,"Shivajinagar, Central Bengaluru",Asian,700,,Bengaluru
Nasi and Mee,4.4,"Richmond Town, Central Bengaluru",Asian,2000,,Bengaluru
Chin Lung Resto Bar,4.4,"Residency Road, Central Bengaluru",Multicuisine,2000,,Bengaluru
Öz By Kebapci,4.5,"UB City, Central Bengaluru",Turkish,2000,,Bengaluru
BLR Brewing Co,4.4,"Whitefield, East Bengaluru",Multicuisine,2000,,Bengaluru
Juliet,3.8,"1MG Road Mall, MG Road","European, Asian",3000,,Bengaluru
The Reservoire Cocktail Bar & Kitchen,4.5,"Indiranagar, East Bengaluru",Multicuisine,2000,,Bengaluru
Maverick & Farmer Coffee,4.6,"Ulsoor, East Bengaluru",Cafe,2000,,Bengaluru
"Atlantis - Brewpub, Cocktails & Kitchen",4.1,"HSR, South Bengaluru",Multicuisine,2000,,Bengaluru
One8 Commune,3.8,"MG Road, Central Bengaluru",Multicuisine,2800,,Bengaluru
Nusa - Tropical Brewvilla,4.1,"Gunjur Village, Bengaluru",Multicuisine,2000,,Bengaluru
 KoMaama Korean Restaurant,3.6,"Brigade Road, Central Bengaluru",Korean,2000,,Bengaluru
Helen's Place,3.9,"Marathahalli, East Bengaluru",Multicuisine,2500,,Bengaluru
The Bier Library,4.5,"Sarjapur Road, South Bengaluru","Cocktail Menu, Multicuisine",2000,,Bengaluru
ASF - Ancient Stone Flames BBQ & Grill,4.8,"Kalyan Nagar, North Bengaluru",North Indian,2000,,Bengaluru
The Founders Brewery,4.7,"New BEL Road, North Bengaluru","Chinese, North Indian",2000,,Bengaluru
Chin Lung Brewery,4.6,"Indiranagar, East Bengaluru",Multicuisine,2000,,Bengaluru
46 Ounces Brewgarden,4.7,"Electronic City, South Bengaluru","Cocktail Menu, Multicuisine",2000,15,Bengaluru
Old Mill,4.7,"Varthur Main Road, Whitefield",Multicuisine,2000,,Bengaluru
Yuki Cocktail Bar & Kitchen,4.7,"Indiranagar, East Bengaluru","Cocktail Menu, Pan Asian, Asian",2000,,Bengaluru
Jollygunj,4.3,"JP Nagar, South Bengaluru",Indian,2500,,Bengaluru
The Fisherman's Wharf,4.5,"Sarjapur Road, South Bengaluru","Seafood, Indian Coastal Cuisine, Multicuisine",2000,,Bengaluru
Khmer Kitchen,4.7,"JP Nagar, South Bengaluru",Asian,2000,,Bengaluru
1 BHK - Bar House Kitchen,4.4,"Koramangala, South Bengaluru",Multicuisine,2000,,Bengaluru
DISTRICT 6,4.4,"Rajajinagar, West Bengaluru","Cocktail Menu, Multicuisine",2000,,Bengaluru
ABV- Artisanal Bier Village,4.6,"Whitefield, East Bengaluru",Multicuisine,2500,10,Bengaluru
The Scene - Craft Kitchen & Bar,4.0,"JP Nagar, South Bengaluru",Multicuisine,2000,,Bengaluru
Maize & Malt,4.6,"Krishnarajapuram Hobli, Bengaluru",Multicuisine,2000,,Bengaluru
Daddy,4.1,"Indiranagar, East Bengaluru","Pan Asian, Cocktail Menu",2000,,Bengaluru
Jollygunj,4.2,"Whitefield, East Bengaluru",Multicuisine,2000,,Bengaluru
Yuki - Brewhouse and Kitchen,4.6,"Koramangala, South Bengaluru","Pan Asian, Cocktail Menu",2000,,Bengaluru
 William John's Pizza,4.9,"Horamavu, Bengaluru","American, Italian",2000,,Bengaluru
Oia,4.1,"Hennur, North Bengaluru",Multicuisine,2000,,Bengaluru
MisoSexy,4.4,"Indiranagar, East Bengaluru","Pan Asian, Asian",2000,,Bengaluru
1522 The Pub,4.4,"Sahakara Nagar, North Bengaluru",Multicuisine,2000,,Bengaluru
Garden by su,4.3,"Jayanagar, South Bengaluru",Multicuisine,2000,,Bengaluru
Yuki - Pan Asian Kitchen and Bar,4.5,"JP Nagar, South Bengaluru",Pan Asian,2000,,Bengaluru
Byg Brewski - Sarjapur,4.5,"Sarjapur Road, South Bengaluru",Multicuisine,2000,,Bengaluru
Peepai Kitchen & Brewery,4.2,"Hebbal, North Bengaluru",Multicuisine,2500,,Bengaluru
Koreyaki ,4.3,"Indiranagar, East Bengaluru",Korean,2000,,Bengaluru
TAG,4.4,"Indiranagar, East Bengaluru",Andhra,2000,,Bengaluru
Subz,4.4,"Jayanagar, South Bengaluru",Multicuisine,2000,,Bengaluru
Gaia - Global Vegetarian,4.6,"JP Nagar, South Bengaluru",Multicuisine,2000,,Bengaluru
Masala Mandi,4.2,"Sarjapur Road, South Bengaluru",Barbeque,2000,,Bengaluru
Chairman's Restobar,4.5,"Chikkabanavara, North Bengaluru",Multicuisine,2000,,Bengaluru
Toca,3.9,"Koramangala, South Bengaluru",Multicuisine,2000,,Bengaluru
Nasi And Mee,4.5,"Koramangala, South Bengaluru",Asian,2000,,Bengaluru
Savera Lassi Shop,4.7,"Shivajinagar, Central Bengaluru","Beverages, Ice Cream",2000,10,Bengaluru
My Breakfast,4.0,"Shivajinagar, Central Bengaluru",Multicuisine,2000,10,Bengaluru
Masha Allah Hot And Cool Point,4.0,"Shivajinagar, Central Bengaluru",Fast Food,2000,10,Bengaluru
Tipsy Cafe,4.0,"Shivajinagar, Central Bengaluru",Fast Food,2000,10,Bengaluru
Shahi Restaurant,3.0,"Shivajinagar, Central Bengaluru",Multicuisine,2000,10,Bengaluru
Main Lassi Shop,1.0,"Shivajinagar, Central Bengaluru",Multicuisine,2000,10,Bengaluru
Maggi Baba,5.0,"Shivajinagar, Central Bengaluru",Beverages,2000,,Bengaluru
Romeo Cafe,4.0,"Shivajinagar, Central Bengaluru",Multicuisine,2000,,Bengaluru
Dindigul Thalappakatti,4.0,"MG Road, Central Bengaluru",Multicuisine,950,,Bengaluru
Jalebbi,4.6,"Cunningham Road, Central Bengaluru",Indian,2000,50,Bengaluru
ShakesBierre,4.4,"MG Road, Central Bengaluru","Multicuisine, Cocktail Menu",2000,10,Bengaluru
Flo,3.5,"Church Street, Central Bengaluru","Cocktail Menu, Multicuisine",2000,45,Bengaluru
Burnout Cafe,3.9,"Infantry Road, Central Bengaluru","Chinese, Multicuisine, Continental",2000,15,Bengaluru
Lumara Bar & Kitchen,4.3,"Old Madras Road, East Bengaluru",Multicuisine,2500,20,Bengaluru
Tiger Trail,4.1,"Regenta Place Cunningham, Bengaluru",Indian,2000,25,Bengaluru
SkyDeck By Sherlock's,4.2,"MG Road, Central Bengaluru",Multicuisine,2000,25,Bengaluru
KA 01 - Rooftop Bar & Eats,4.4,"Ibis Hotel, Richmond Road","Indian, Cocktail Menu",2000,50,Bengaluru
Cafe Noir,4.4,"UB City, Central Bengaluru",European,2000,20,Bengaluru
Foo Brigade Road,4.5,"Brigade Road, Central Bengaluru","Chinese, Pan Asian, Asian",2500,,Bengaluru
Bazaar,4.0,Zone By The Park Infantry Bengaluru,Multicuisine,2500,10,Bengaluru
Gold Rush Brews,4.3,"Old Madras Road, East Bengaluru",Multicuisine,2000,50,Bengaluru
Smoke House Deli,4.4,"Lavelle Road, Central Bengaluru",European,2000,,Bengaluru
Tiamo,4.4,Conrad Bengaluru,Multicuisine,2250,15,Bengaluru
SodaBottleOpenerWala,4.4,"Lavelle Road, Central Bengaluru",Parsi,2000,15,Bengaluru
Hatti Kaapi - Signature,5.0,"Lavelle Road, Central Bengaluru",Multicuisine,600,10,Bengaluru
By Chance,4.4,"Brigade Road, Central Bengaluru",Multicuisine,1500,50,Bengaluru
No Limmits Lounge & Club,3.5,"Brigade Road, Central Bengaluru",Multicuisine,2000,30,Bengaluru
Punjab Grill,4.1,"Ashok Nagar, Bengaluru",North Indian,2000,25,Bengaluru
Fia’s Lounge,4.4,"Richmond Road, Central Bengaluru","European, Parsi",1500,15,Bengaluru
Matsuri,4.6,"The Chancery Hotel, Bengaluru","Sushi, Japanese",2000,15,Bengaluru
Café Azzure,4.2,"MG Road, Central Bengaluru",European,2000,20,Bengaluru
The Grill & Cheese Cafe,4.0,"Frazer Town, Central Bengaluru",Continental,2000,10,Bengaluru
JW Kitchen,4.4,"JW Marriott, Bengaluru, Central Bengaluru",Multicuisine,2500,30,Bengaluru
Easy Tiger,4.2,"Church Street, Central Bengaluru","Cocktail Menu, American",2000,10,Bengaluru
The Kabab Studio,3.9,"Goldfinch Hotel, Seshadripuram",North Indian,2000,50,Bengaluru
Hatti Kaapi,4.0,"Infantry Road, Central Bengaluru",Multicuisine,400,10,Bengaluru
Be Luru Craft Kitchen & Bar,4.0,"Sankey Road, North Bengaluru","Asian, Indian",2000,25,Bengaluru
CANTAN - Chinese Bar House,4.5,"Lavelle Road, Central Bengaluru",Chinese,2000,15,Bengaluru
Over Coffee “Restaurant + Wine bar”,4.4,"Lavelle Road, Central Bengaluru",European,2000,,Bengaluru
Mikusu,4.5,Conrad Bengaluru,"Pan Asian, Asian",3000,15,Bengaluru
Ta'aam,5.0,"Cunningham Road, Central Bengaluru","Arabian, North Indian",600,,Bengaluru
SMOOR,4.3,"Lavelle Road, Central Bengaluru",European,2000,10,Bengaluru
Kling Brewery,4.4,"Church Street, Central Bengaluru",Multicuisine,2000,10,Bengaluru
Badmaash UB City,4.3,"UB City, Central Bengaluru",Indian,2000,15,Bengaluru
Maayaa,4.4,"The Courtyard by Sublime, Bengaluru",South Indian,2000,15,Bengaluru
New Kudla Family Restaurant,4.0,"MG Road, Central Bengaluru","Chinese, North Indian",2000,50,Bengaluru
Monarch Cafe,4.0,"Infantry Road, Central Bengaluru",Multicuisine,2000,,Bengaluru
Cafe Adams,4.0,"Shivajinagar, Central Bengaluru",European,2000,,Bengaluru
Ihmiets Momos,4.0,"Old Madras Road, East Bengaluru",Momos,2000,50,Bengaluru
Lifetree,5.0,"Ashok Nagar, Bengaluru",Multicuisine,1000,20,Bengaluru
Downtown Taproom,4.6,"Residency Road, Central Bengaluru",Indian,2000,10,Bengaluru
Alchemy,4.5,"The Chancery Pavilion, Bengaluru","Indian, Fusion",2500,20,Bengaluru
Whispers Pub (Big Barn),4.5,"Banashankari, South Bengaluru",Multicuisine,2000,30,Bengaluru
Don't Tell Mama,4.1,"HSR, South Bengaluru",Multicuisine,2000,50,Bengaluru
Levista Gourmet Studio,5.0,"Church Street, Central Bengaluru",American,2000,20,Bengaluru
Chianti,4.2,"MG Road, Central Bengaluru","Desserts, Salad, Italian, Pizza, Pasta",2000,15,Bengaluru
Muro India,5.0,"Museum Road, Ashok Nagar, Bengaluru","Thai, Cantonese",5000,,Bengaluru
Hard Rock Cafe,4.5,"St. Marks Road, Central Bengaluru","Burgers, Multicuisine",2500,10,Bengaluru
Sozo Skyline Dining,4.3,"Ashok Nagar, Bengaluru","Cocktail Menu, Pan Asian",2000,25,Bengaluru
Sana-Di-Ge ,4.4,"Goldfinch Hotel, Seshadripuram","Biryani, Seafood, Regional Indian",2000,20,Bengaluru
2 Moons,3.8,"1MG Road Mall, MG Road","Cocktail Menu, Multicuisine",2500,10,Bengaluru
Street Storyss,4.0,"Brigade Road, Central Bengaluru",Multicuisine,1500,10,Bengaluru
Nothing Before Coffee,4.0,"Richmond Town, Central Bengaluru",Cafe,2000,20,Bengaluru
Karnatic,3.8,"Church Street, Central Bengaluru",Andhra,2000,15,Bengaluru
Ging,4.3,"Royal Orchid Central, Bengaluru","Cocktail Menu, oriental",2500,25,Bengaluru
Central Flavors,4.0,"Hennur, North Bengaluru","North Indian, Chinese",2000,50,Bengaluru
Adda 1522,4.4,"Ulsoor, East Bengaluru","European, Finger Food, North Indian, Indian Coastal Cuisine, Chicken, Barbeque",2000,,Bengaluru
Gatsby,4.4,"Bannerghatta Road, South Bengaluru",Multicuisine,2000,20,Bengaluru
Rice Bowl,3.0,"Ulsoor, East Bengaluru",Pan Asian,2500,30,Bengaluru
Sea Rock Family Restaurant & Bar,4.7,"Seshadripuram, Central Bengaluru",Multicuisine,2000,10,Bengaluru
Good Flippin' Burgers,4.0,"Church Street, Central Bengaluru",American,1100,10,Bengaluru
The Biere Club,4.4,"Lavelle Road, Central Bengaluru","Cocktail Menu, Multicuisine",2000,10,Bengaluru
The Big Barbeque,4.0,"Marathahalli, East Bengaluru","Multicuisine, Barbeque",2000,,Bengaluru
Cafe Stone,4.1,"Commercial Street, Central Bengaluru",Multicuisine,2000,,Bengaluru
Oney By Hammered,4.0,"Cunningham Road, Central Bengaluru","Asian, Continental",2000,10,Bengaluru
Botany Brew & Kitchen,4.0,"Ashok Nagar, Bengaluru",Multicuisine,2000,25,Bengaluru
Misu,4.7,"Palace Road, Central Bengaluru",Pan Asian,2500,15,Bengaluru
You Mee,4.3,"Orion Mall, Malleshwaram",Pan Asian,2000,15,Bengaluru
Kudla,5.0,"Sampangi Rama Nagar, Bengaluru",Multicuisine,2500,15,Bengaluru
Watson's,4.4,"Ulsoor, East Bengaluru",Multicuisine,2000,,Bengaluru
CBD Central Bar District,5.0,"MSR Nagar, Bengaluru",Multicuisine,1200,,Bengaluru
Shiro,4.3,"UB City, Central Bengaluru","Japanese, Pan Asian, Asian",2500,,Bengaluru
Aromas of Asia,1.0,"Hotel 37th Crescent, Bengaluru",Multicuisine,2000,20,Bengaluru
Blah Bla (Indigo XP),3.9,"Koramangala, South Bengaluru",Multicuisine,2000,40,Bengaluru
Scottish Pub,4.8,"St. Marks Road, Central Bengaluru",Multicuisine,2000,10,Bengaluru
"Salt - Pan Indian Restaurant, Bar & Grill",4.2,"UB City, Central Bengaluru","Indian, Cocktail Menu",2000,,Bengaluru
Frenzy Pub,4.5,"Marathahalli, East Bengaluru",Multicuisine,2000,40,Bengaluru
Howl’n Pub,4.3,"Church Street, Central Bengaluru",Multicuisine,1400,10,Bengaluru
